generation,hypervolume,nondominated_count,best_obj_0,mean_obj_0,std_obj_0,best_obj_1,mean_obj_1,std_obj_1
0,3951.619140625,5,40.80792236328125,10.664381980895996,16.32677459716797,-0.030697988346219063,-29.28289031982422,37.869140625
1,3951.619140625,4,40.80792236328125,15.26641845703125,15.252054214477539,-0.030697988346219063,-21.899816513061523,30.89557647705078
2,3951.619140625,6,40.951656341552734,19.505151748657227,13.941006660461426,-0.030697988346219063,-19.86139678955078,33.01738357543945
3,3951.619140625,7,46.2572135925293,19.948711395263672,14.646045684814453,-0.030697988346219063,-18.160316467285156,30.44010353088379
4,2783.360595703125,8,46.2572135925293,19.52474594116211,15.109068870544434,-0.007948365993797779,-11.961158752441406,24.245532989501953
5,8289.8837890625,5,54.26389694213867,21.768898010253906,15.545717239379883,-0.003892856417223811,-10.295830726623535,16.967439651489258
6,8289.8837890625,6,54.26389694213867,22.906898498535156,16.508268356323242,-0.003892856417223811,-9.605709075927734,15.944100379943848
7,8289.8837890625,5,55.3343391418457,22.08157730102539,17.051836013793945,-0.003892856417223811,-6.300724029541016,13.670736312866211
8,328.25213623046875,7,64.43013763427734,23.39099884033203,17.2783203125,-0.0030189615208655596,-7.15364933013916,17.69891357421875
9,328.25213623046875,10,66.30892181396484,25.059309005737305,17.82358169555664,-0.0030189615208655596,-7.724980354309082,18.080368041992188
10,328.25213623046875,11,66.30892181396484,25.941436767578125,16.904232025146484,-0.0030189615208655596,-6.678222179412842,15.003226280212402
11,664.0120849609375,10,66.30892181396484,26.12075424194336,17.963788986206055,-0.0018657060572877526,-8.718995094299316,22.337284088134766
12,664.0120849609375,10,66.30892181396484,24.972543716430664,18.28112030029297,-0.0018657060572877526,-7.808919906616211,22.333736419677734
13,664.0120849609375,10,66.30892181396484,23.921390533447266,18.75013542175293,-0.0018657060572877526,-7.754299640655518,22.350730895996094
14,664.0120849609375,12,74.07743072509766,25.087234497070312,21.271350860595703,-0.0018657060572877526,-10.819356918334961,25.85727882385254
15,664.0120849609375,13,74.07743072509766,24.831954956054688,21.699129104614258,-0.0018657060572877526,-8.649001121520996,20.102439880371094
16,2726.0361328125,13,75.0844955444336,25.20010757446289,22.27775001525879,-0.001734937191940844,-8.2795991897583,19.583362579345703
17,2726.0361328125,13,81.88105010986328,25.72637367248535,23.206274032592773,-0.001734937191940844,-6.649155616760254,15.419979095458984
18,2726.0361328125,14,81.88105010986328,28.418020248413086,23.016483306884766,-0.001734937191940844,-7.5935235023498535,16.059066772460938
19,2726.0361328125,12,82.60245513916016,29.291908264160156,23.954971313476562,-0.001734937191940844,-7.870453834533691,16.303071975708008
20,2726.0361328125,12,82.60245513916016,31.316726684570312,25.082529067993164,-0.001734937191940844,-9.230091094970703,16.85833740234375
21,2726.0361328125,13,82.60245513916016,30.401805877685547,24.70572280883789,-0.001734937191940844,-8.258060455322266,16.429548263549805
22,2726.0361328125,14,82.80498504638672,30.736000061035156,25.357398986816406,-0.001734937191940844,-7.5073137283325195,12.902722358703613
23,2726.0361328125,14,82.80498504638672,31.280372619628906,24.875438690185547,-0.001734937191940844,-7.506888389587402,12.90295124053955
24,2726.0361328125,15,82.80498504638672,32.547203063964844,25.24993896484375,-0.001734937191940844,-7.923369884490967,12.991083145141602
25,2232.1005859375,17,82.80498504638672,32.49973678588867,26.065793991088867,-0.0008671029936522245,-7.638038635253906,12.638160705566406
26,2232.1005859375,19,82.80498504638672,33.68589401245117,25.68506622314453,-0.0008671029936522245,-7.182250499725342,11.192643165588379
27,2232.1005859375,20,82.80498504638672,37.59992980957031,24.353403091430664,-0.0008671029936522245,-8.483833312988281,11.443634033203125
28,2232.1005859375,19,82.80498504638672,38.97877502441406,25.149808883666992,-0.0008671029936522245,-8.922306060791016,12.602256774902344
29,2232.1005859375,20,104.1362533569336,39.529537200927734,26.04583740234375,-0.0008671029936522245,-9.789523124694824,16.31262969970703
30,2232.1005859375,18,104.1362533569336,40.07296371459961,26.363361358642578,-0.0008671029936522245,-9.64093017578125,16.122961044311523
31,2232.1005859375,18,104.1362533569336,41.02497100830078,27.95611000061035,-0.0008671029936522245,-10.534255027770996,16.721590042114258
32,2232.1005859375,17,104.1362533569336,40.9813346862793,28.023853302001953,-0.0008671029936522245,-9.1707124710083,15.696202278137207
33,2232.1005859375,17,107.74371337890625,42.84012985229492,29.27231216430664,-0.0008671029936522245,-11.438102722167969,21.747331619262695
34,2232.1005859375,17,107.74371337890625,43.29484558105469,29.622154235839844,-0.0008671029936522245,-11.251350402832031,21.610937118530273
35,2470.406005859375,22,136.2140350341797,48.805702209472656,33.35938262939453,-0.0007283926825039089,-14.935552597045898,25.188268661499023
36,2470.406005859375,23,136.2140350341797,49.010231018066406,33.453529357910156,-0.0007283926825039089,-14.997685432434082,25.157608032226562
37,5131.34814453125,23,136.2140350341797,48.74150085449219,33.794368743896484,-0.00012000862625427544,-19.2205867767334,53.102108001708984
38,5131.34814453125,25,136.2140350341797,51.982322692871094,33.98903274536133,-0.00012000862625427544,-20.364046096801758,53.18778610229492
39,5131.34814453125,23,136.2140350341797,54.53038787841797,35.098907470703125,-0.00012000862625427544,-22.565166473388672,55.179901123046875
40,5131.34814453125,22,136.2140350341797,54.411556243896484,36.42509841918945,-0.00012000862625427544,-17.41156768798828,27.541664123535156
41,5131.34814453125,23,136.2140350341797,55.05976867675781,37.1877326965332,-0.00012000862625427544,-17.279102325439453,27.622690200805664
42,5131.34814453125,25,136.2140350341797,55.573184967041016,37.254764556884766,-0.00012000862625427544,-14.944540023803711,23.70335578918457
43,5131.34814453125,27,169.2568817138672,57.45783996582031,39.02370834350586,-0.00012000862625427544,-15.683086395263672,26.66095733642578
44,5131.34814453125,29,169.2568817138672,60.99882507324219,37.954017639160156,-0.00012000862625427544,-16.886951446533203,26.565776824951172
45,5131.34814453125,27,169.2568817138672,61.597103118896484,39.67232894897461,-0.00012000862625427544,-18.341127395629883,30.642486572265625
46,5131.34814453125,28,169.2568817138672,63.59209442138672,40.01377868652344,-0.00012000862625427544,-20.19011688232422,32.12468338012695
47,5131.34814453125,30,177.1884765625,63.80755615234375,41.687557220458984,-0.00012000862625427544,-23.945884704589844,54.95458984375
48,5131.34814453125,31,177.1884765625,60.843544006347656,42.09969711303711,-0.00012000862625427544,-19.621767044067383,50.9036750793457
49,5131.34814453125,32,177.1884765625,64.47148132324219,44.51655578613281,-0.00012000862625427544,-21.68743133544922,52.44841003417969
50,5131.34814453125,32,177.1884765625,66.01182556152344,43.49006271362305,-0.00012000862625427544,-21.85635757446289,52.39474105834961
51,5131.34814453125,33,177.1884765625,70.80531311035156,45.917625427246094,-0.00012000862625427544,-28.3837890625,64.18268585205078
52,5131.34814453125,34,177.1884765625,70.76535034179688,46.65263366699219,-0.00012000862625427544,-28.36526870727539,64.19046020507812
53,5131.34814453125,35,177.1884765625,74.29073333740234,47.286991119384766,-0.00012000862625427544,-30.404815673828125,64.13642883300781
54,5131.34814453125,37,177.1884765625,74.81407165527344,48.72463607788086,-0.00012000862625427544,-32.97510528564453,68.71652221679688
55,5131.34814453125,39,185.6561737060547,77.07643127441406,49.54488754272461,-0.00012000862625427544,-36.14657974243164,74.85812377929688
56,5131.34814453125,41,185.6561737060547,79.75326538085938,49.29974365234375,-0.00012000862625427544,-37.06322479248047,74.96400451660156
57,5131.34814453125,44,185.6561737060547,83.21932983398438,50.69729995727539,-0.00012000862625427544,-39.766075134277344,74.9976806640625
58,5131.34814453125,41,185.6561737060547,85.5281982421875,50.217899322509766,-0.00012000862625427544,-39.61109161376953,71.5770492553711
59,5131.34814453125,42,185.6561737060547,84.86898803710938,51.873878479003906,-0.00012000862625427544,-41.60951232910156,73.76883697509766
60,5131.34814453125,42,185.6561737060547,88.035888671875,53.295204162597656,-0.00012000862625427544,-47.537994384765625,82.6639404296875
61,5131.34814453125,44,185.6561737060547,89.82418823242188,54.519161224365234,-0.00012000862625427544,-50.70050048828125,83.08032989501953
62,5131.34814453125,47,208.37657165527344,87.93722534179688,57.625064849853516,-0.00012000862625427544,-51.072479248046875,87.5572280883789
63,5131.34814453125,48,208.37657165527344,88.69866943359375,56.2528076171875,-0.00012000862625427544,-42.84766387939453,67.01492309570312
64,5131.34814453125,50,208.37657165527344,91.75985717773438,55.25345993041992,-0.00012000862625427544,-44.21549987792969,67.00210571289062
65,5131.34814453125,49,208.37657165527344,89.66679382324219,54.146263122558594,-0.00012000862625427544,-39.94830322265625,62.486907958984375
66,5131.34814453125,52,208.37657165527344,89.87141418457031,54.2289924621582,-0.00012000862625427544,-39.68769836425781,62.53924560546875
67,5131.34814453125,54,208.37657165527344,93.4331283569336,53.70453643798828,-0.00012000862625427544,-41.38355255126953,61.939727783203125
68,5131.34814453125,51,208.37657165527344,91.814453125,54.959327697753906,-0.00012000862625427544,-40.32228088378906,62.071922302246094
69,5131.34814453125,51,208.37657165527344,88.09471130371094,55.16381072998047,-0.00012000862625427544,-37.414772033691406,61.263004302978516
70,5131.34814453125,55,208.37657165527344,89.28193664550781,55.90964889526367,-0.00012000862625427544,-38.463905334472656,61.62474822998047
71,5131.34814453125,58,208.37657165527344,92.51959228515625,55.17253875732422,-0.00012000862625427544,-40.603729248046875,62.6075553894043
72,5131.34814453125,59,208.37657165527344,93.78816223144531,55.42318344116211,-0.00012000862625427544,-41.388084411621094,62.54119110107422
73,5131.34814453125,59,208.37657165527344,95.20101928710938,55.50197982788086,-0.00012000862625427544,-42.04387664794922,62.35588836669922
74,5131.34814453125,60,208.37657165527344,99.7033462524414,54.49185562133789,-0.00012000862625427544,-47.21464538574219,68.16612243652344
75,5131.34814453125,62,208.37657165527344,101.18548583984375,51.87346649169922,-0.00012000862625427544,-44.759857177734375,63.60295867919922
76,5131.34814453125,63,208.37657165527344,99.68325805664062,50.80516815185547,-0.00012000862625427544,-39.54705810546875,54.092166900634766
77,5131.34814453125,63,208.37657165527344,97.97537994384766,49.55909729003906,-0.00012000862625427544,-36.87688446044922,52.122867584228516
78,5131.34814453125,61,208.37657165527344,97.00358581542969,51.67990493774414,-0.00012000862625427544,-38.277427673339844,53.988834381103516
79,5131.34814453125,62,208.37657165527344,98.69612121582031,50.150062561035156,-0.00012000862625427544,-38.5067253112793,53.85760498046875
80,5131.34814453125,63,217.9795379638672,100.94410705566406,52.21296691894531,-0.00012000862625427544,-44.751487731933594,70.62482452392578
81,5131.34814453125,64,217.9795379638672,102.91156005859375,54.39113998413086,-0.00012000862625427544,-49.57695770263672,79.65816497802734
82,5131.34814453125,64,217.9795379638672,103.36034393310547,55.01834487915039,-0.00012000862625427544,-50.509578704833984,80.51961517333984
83,5131.34814453125,63,217.9795379638672,101.93775939941406,54.925106048583984,-0.00012000862625427544,-49.30450439453125,80.59644317626953
84,5131.34814453125,64,226.5823974609375,104.56552124023438,56.827335357666016,-0.00012000862625427544,-56.301734924316406,94.18323516845703
85,5131.34814453125,64,226.5823974609375,103.18876647949219,57.7214241027832,-0.00012000862625427544,-55.85585021972656,94.37492370605469
86,5131.34814453125,64,226.5823974609375,105.28227233886719,58.78234100341797,-0.00012000862625427544,-58.2608642578125,94.51261901855469
87,5131.34814453125,63,226.5823974609375,104.76941680908203,59.359832763671875,-0.00012000862625427544,-58.09973907470703,94.58502960205078
88,5131.34814453125,64,226.5823974609375,106.77394104003906,59.690608978271484,-0.00012000862625427544,-61.80534744262695,98.31629180908203
89,5131.34814453125,64,226.5823974609375,111.73058319091797,60.36198806762695,-0.00012000862625427544,-68.82359313964844,101.44435119628906
90,5131.34814453125,64,226.5823974609375,112.03424072265625,60.0236930847168,-0.00012000862625427544,-68.84638214111328,101.42906951904297
91,5131.34814453125,64,226.5823974609375,110.94412231445312,59.78337097167969,-0.00012000862625427544,-67.53905487060547,101.58355712890625
92,5131.34814453125,62,226.5823974609375,108.99639129638672,60.89327621459961,-0.00012000862625427544,-66.00545501708984,101.18120574951172
93,5131.34814453125,64,226.5823974609375,110.84980773925781,59.737632751464844,-0.00012000862625427544,-65.02542877197266,98.29200744628906
94,5131.34814453125,64,226.5823974609375,112.90326690673828,61.133846282958984,-0.00012000862625427544,-70.49838256835938,105.14410400390625
95,5131.34814453125,63,226.5823974609375,113.0435562133789,62.44296646118164,-0.00012000862625427544,-70.38905334472656,104.14131164550781
96,5131.34814453125,64,226.5823974609375,113.49727630615234,62.46918869018555,-0.00012000862625427544,-70.47261047363281,102.72566986083984
97,5131.34814453125,63,226.5823974609375,112.33429718017578,61.32590103149414,-0.00012000862625427544,-64.53819274902344,93.19510650634766
98,5131.34814453125,64,226.5823974609375,109.51022338867188,60.61115646362305,-0.00012000862625427544,-58.23953628540039,83.15453338623047
99,5131.34814453125,64,226.5823974609375,109.67741394042969,60.64384841918945,-0.00012000862625427544,-58.437400817871094,83.0907211303711
